model,function,offset,city,mean_absolute_error,mean_squared_error,time
MLPRegressor,mean,10,Culiacán,0.21716556498916187,0.06100159433827265,2834082042.0
MLPRegressor,mean,10,Ecatepec de Morelos,0.14566118355043933,0.04053688399785214,3029239016.0
MLPRegressor,mean,10,Guadalajara,0.1724493962196818,0.03978704590844084,2917884824.0
MLPRegressor,mean,10,Irapuato,0.1514342669074733,0.03982685994376006,3203474851.0
MLPRegressor,mean,10,Iztapalapa,0.15074101797309894,0.03212042958893016,2512882351.0
MLPRegressor,mean,10,Juárez,0.1304566159488132,0.022500545695797486,3322234429.0
MLPRegressor,mean,10,León,0.12997749978999049,0.028925599992880933,3109921486.0
MLPRegressor,mean,10,Morelia,0.2501065143732901,0.07625887669147044,2761416380.0
MLPRegressor,mean,10,Reynosa,0.11076675725628721,0.017480894277614845,3205534454.0
MLPRegressor,mean,10,Tijuana,0.1187518643621586,0.020399565688630963,3099494928.0
MLPRegressor,mean,11,Acapulco de Juárez,0.15630473534800984,0.03913285884836326,3654084135.0
MLPRegressor,mean,11,Benito Juárez,0.12111150437439736,0.019139619728149274,3514054350.0
MLPRegressor,mean,11,Centro,0.1777938601321644,0.04985817423743097,3514036240.0
MLPRegressor,mean,11,Chihuahua,0.1648999602244256,0.04552071175475043,2841459822.0
MLPRegressor,mean,11,Cuauhtémoc,0.20680286014406282,0.06448779363790556,2924382468.0
MLPRegressor,mean,11,Culiacán,0.23102557200544735,0.06386647420016422,2934999517.0
MLPRegressor,mean,11,Ecatepec de Morelos,0.13236386415569504,0.02636400788470335,2646920974.0
MLPRegressor,mean,11,Guadalajara,0.1957230111540453,0.06575312210763627,2391003522.0
MLPRegressor,mean,11,Irapuato,0.14972915673296855,0.03777938891793268,3188608576.0
MLPRegressor,mean,11,Iztapalapa,0.21929186584196342,0.0957092252706198,3004022939.0
MLPRegressor,mean,11,Juárez,0.16118852451725652,0.04037895813089635,2146746405.0
MLPRegressor,mean,11,León,0.09905781127530221,0.018562456148676,2532910121.0
MLPRegressor,mean,11,Morelia,0.20576926862979486,0.04772527486655935,3671053566.0
MLPRegressor,mean,11,Reynosa,0.11508893861740671,0.0223453124022571,1783909789.0
MLPRegressor,mean,11,Tijuana,0.16174363840566428,0.04224415843903801,3300156209.0
MLPRegressor,mean,12,Acapulco de Juárez,0.1590855505448101,0.03890690353655861,3794643519.0
MLPRegressor,mean,12,Benito Juárez,0.14445648699553998,0.027425132127169984,3106461863.0
MLPRegressor,mean,12,Centro,0.16187840468332154,0.042473672077963535,3452005974.0
MLPRegressor,mean,12,Chihuahua,0.21125689881226337,0.06205625003878608,2158984334.0
MLPRegressor,mean,12,Cuauhtémoc,0.19475765060662012,0.06159607263380337,3455917437.0
MLPRegressor,mean,12,Culiacán,0.23725081099110004,0.08748192233107065,2771553214.0
MLPRegressor,mean,12,Ecatepec de Morelos,0.23285599540045163,0.08157041389945278,2447749199.0
MLPRegressor,mean,12,Guadalajara,0.26423750462668494,0.11868994775779565,2308552657.0
MLPRegressor,mean,12,Irapuato,0.1959648834656284,0.0574907732646455,2447043019.0
MLPRegressor,mean,12,Iztapalapa,0.17818783177677133,0.05654238502031758,2256197360.0
MLPRegressor,mean,12,Juárez,0.12613817165006455,0.022166783621303695,3083258730.0
MLPRegressor,mean,12,León,0.10474281631669391,0.017931433111619672,3161247464.0
MLPRegressor,mean,12,Morelia,0.2108487733690628,0.0542350810855395,3900466567.0
MLPRegressor,mean,12,Reynosa,0.2109699441068759,0.07255897181658975,1643512658.0
MLPRegressor,mean,12,Tijuana,0.12680675100575434,0.023060414437413156,3360956748.0
MLPRegressor,max,1,Acapulco de Juárez,0.16146940375774038,0.03852610895522554,871934838.0
MLPRegressor,max,1,Benito Juárez,0.12179007280065801,0.024526840820163445,754248507.0
MLPRegressor,max,1,Centro,0.19335945120571005,0.0534486729519321,707205318.0
MLPRegressor,max,1,Chihuahua,0.13306225666595817,0.026733352131662013,752907615.0
MLPRegressor,max,1,Cuauhtémoc,0.2193911740284279,0.069147835150912,750380913.0
MLPRegressor,max,1,Culiacán,0.23396960704463304,0.07112786862315655,808128289.0
MLPRegressor,max,1,Ecatepec de Morelos,0.1279045708778556,0.02971704980925207,785212040.0
MLPRegressor,max,1,Guadalajara,0.1882051619389504,0.0514445354966933,809714120.0
MLPRegressor,max,1,Irapuato,0.12919706286085486,0.024196318692572303,739915432.0
MLPRegressor,max,1,Iztapalapa,0.18765113250494483,0.0680253443915594,772451590.0
MLPRegressor,max,1,Juárez,0.17667827201369418,0.04398217714653873,758978408.0
MLPRegressor,max,1,León,0.08486558026549973,0.012330474988859325,760913417.0
MLPRegressor,max,1,Morelia,0.22161275411515893,0.05966030489048362,655140508.0
MLPRegressor,max,1,Reynosa,0.11272649584919726,0.016466956287924425,913598333.0
MLPRegressor,max,1,Tijuana,0.10386757270021162,0.016232703179145824,766497339.0
MLPRegressor,max,2,Acapulco de Juárez,0.24280510539324737,0.08405126877162714,707450442.0
MLPRegressor,max,2,Benito Juárez,0.1868822824514634,0.046650610650015724,1028984188.0
MLPRegressor,max,2,Centro,0.29015362857756144,0.11340227236547258,747976944.0
MLPRegressor,max,2,Chihuahua,0.1272423624862793,0.03521253418115582,748440618.0
MLPRegressor,max,2,Cuauhtémoc,0.26679811692914457,0.10760055304390688,968555444.0
MLPRegressor,max,2,Culiacán,0.27511846336603757,0.09952691467341745,1018122823.0
MLPRegressor,max,2,Ecatepec de Morelos,0.12659957860203774,0.023830992534157287,854312448.0
MLPRegressor,max,2,Guadalajara,0.24373966087912144,0.09420485041468728,665893190.0
MLPRegressor,max,2,Irapuato,0.1834738266533482,0.04730113076533687,1215266888.0
MLPRegressor,max,2,Iztapalapa,0.18589410368006623,0.06464844120431408,623601676.0
MLPRegressor,max,2,Juárez,0.16769127631376787,0.04265943756774439,1365251904.0
MLPRegressor,max,2,León,0.08656016352080033,0.00938377278844335,1088387809.0
MLPRegressor,max,2,Morelia,0.30317628622772874,0.11461257229407615,576134862.0
